Agrupación Política,Lista,Cargo,Género
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO A,DIPUTADOS NACIONALES,Femenino
PROYECTO JOVEN,CENTRO Y NORTE SUR UNIDOS,DIPUTADOS NACIONALES,Masculino
PROYECTO JOVEN,NUEVAS IDEAS LISTA C,DIPUTADOS NACIONALES,Masculino
PROYECTO JOVEN,UNIDOS  LISTA  A,DIPUTADOS NACIONALES,Masculino
UNION POPULAR FEDERAL,CIUDADANOS C,DIPUTADOS NACIONALES,Masculino
UNION POPULAR FEDERAL,POPULARES CBA   F,DIPUTADOS NACIONALES,Femenino
UNION POPULAR FEDERAL,"POR CLUB, CAPILLA Y COLEGIO   A",DIPUTADOS NACIONALES,Masculino
UNION POPULAR FEDERAL,PRODUCCIÓN Y TRABAJO   D ,DIPUTADOS NACIONALES,Masculino
UNION POPULAR FEDERAL,UNIDOS POR LA GENTE   B,DIPUTADOS NACIONALES,Masculino
UNION POR LA PATRIA,CELESTE Y BLANCA   A,DIPUTADOS NACIONALES,Femenino
UNITE POR LA LIBERTAD Y LA DIGNIDAD,CAMPO POPULAR B,DIPUTADOS NACIONALES,Femenino
UNITE POR LA LIBERTAD Y LA DIGNIDAD,DEMOS A,DIPUTADOS NACIONALES,Masculino
COMPROMISO FEDERAL,EVOLUCION Y PROGRESO,DIPUTADOS NACIONALES,Masculino
ENCUENTRO POR CORRIENTES - ECO + VAMOS CORRIENTES,VERDE,DIPUTADOS NACIONALES,Masculino
HACEMOS POR NUESTRO PAIS,FORO SOCIALCRISTIANO,DIPUTADOS NACIONALES,Femenino
HACEMOS POR NUESTRO PAIS,HACEMOS JUNTOS,DIPUTADOS NACIONALES,Femenino
LA LIBERTAD AVANZA,VIVA LA LIBERTAD,DIPUTADOS NACIONALES,Masculino
"MOV. INTEG. LATIONAMERICANA DE EXPRESION SOCIAL POR TIERRA, TECHO Y TRABAJO (MILES TTT)",PRINCIPIOS Y VALORES,DIPUTADOS NACIONALES,Masculino
