,code,nombre,candidatos,votos,perc,percAbs,mapa_scopes_scopeId,mapa_scopes_name,mapa_scopes_partidos_name,mapa_scopes_partidos_code
44,3002,A- DEMOS,"['NAZARENO GABRIEL ETCHEPARE', 'FERNANDO LORENZO']",7.0,10.76,0.01,000000000000000000000020,Catamarca,FRENTE LIBER.AR,131
45,3003,B- RECONQUISTA,"['RAMIRO EDUARDO VASENA', 'VICTOR LAGONEGRO']",1.0,1.53,0.01,000000000000000000000020,Catamarca,FRENTE LIBER.AR,131
46,3022,A- COALICION PAZ DEMOCRACIA SOBERANIA,"['OSCAR ALFREDO RAMON GIARDINELLI', 'BARBARA MARA SOLERNOU GALLARDO']",13.0,65.0,0.01,000000000000000000000020,Catamarca,PROYECTO JOVEN,94
47,3023,B- PATRIA UNIDA,"['MARTIN MIGUEL AYERBE ORTIZ', 'HUGO MAURICIO EZEQUIEL RODRIGUEZ']",4.0,20.0,0.01,000000000000000000000020,Catamarca,PROYECTO JOVEN,94
48,3024,C- TODEX,"['REINA XIOMARA IBAÑEZ', 'GONZALO RODRIGO IBARRA']",3.0,15.0,0.01,000000000000000000000020,Catamarca,PROYECTO JOVEN,94
49,3018,A- APERTURA LIBERAL ARGENTINA,"['ANDRES GABRIEL PASSAMONTI', 'PAMELA FERNANDEZ']",17.0,100.0,0.01,000000000000000000000020,Catamarca,UNION DEL CENTRO DEMOCRATICO,20
50,3005,A- CELESTE Y BLANCA,"['SERGIO TOMAS MASSA', 'AGUSTIN ROSSI']",199837.0,92.4,32.01,00000000000000000000003e,Chaco,UNION POR LA PATRIA,134
51,3006,B- JUSTA Y SOBERANA,"['JUAN GRABOIS', 'PAULA ABAL MEDINA']",16420.0,7.59,2.63,00000000000000000000003e,Chaco,UNION POR LA PATRIA,134
52,3016,A- LIBERTAD POR SIEMPRE,"['JAVIER GERARDO MILEI', 'VICTORIA VILLARRUEL']",180599.0,100.0,28.93,00000000000000000000003e,Chaco,LA LIBERTAD AVANZA,135
53,3008,B- LA FUERZA DEL CAMBIO,"['PATRICIA BULLRICH', 'LUIS PETRI']",96192.0,58.04,15.41,00000000000000000000003e,Chaco,JUNTOS POR EL CAMBIO,132
54,3007,A- EL CAMBIO DE NUESTRAS VIDAS,"['HORACIO ANTONIO RODRIGUEZ LARRETA', 'GERARDO MORALES']",69529.0,41.95,11.14,00000000000000000000003e,Chaco,JUNTOS POR EL CAMBIO,132
55,3001,A- HACEMOS,"['JUAN SCHIARETTI', 'FLORENCIO RANDAZZO']",8833.0,100.0,1.41,00000000000000000000003e,Chaco,HACEMOS POR NUESTRO PAIS,133
56,3010,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,"['GABRIEL ESTEBAN SOLANO', 'VILMA RIPOLL']",4125.0,53.5,0.66,00000000000000000000003e,Chaco,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,136
57,3009,A- UNIR Y FORTALECER LA IZQUIERDA,"['MYRIAM TERESA BREGMAN', 'NICOLAS DEL CAÑO']",3585.0,46.49,0.57,00000000000000000000003e,Chaco,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,136
58,3019,A- AZUL Y ROJO,"['JESUS ARNALDO ESCOBAR', 'MARIANELLA LEZAMA HID']",6141.0,100.0,0.98,00000000000000000000003e,Chaco,MOVIMIENTO LIBRES DEL SUR,40
59,3011,"1A- TIERRA, TECHO  Y TRABAJO","['MARIO GUILLERMO MORENO', 'LEONARDO RUBEN FABRE']",4150.0,98.06,0.66,00000000000000000000003e,Chaco,PRINCIPIOS Y VALORES,137
60,3012,2B- TRANSFORMAR,"['ELIODORO MARTINEZ', 'VICENTE SOUTO']",44.0,1.03,0.01,00000000000000000000003e,Chaco,PRINCIPIOS Y VALORES,137
61,3013,3C- TRES BANDERAS,"['JORGE EDUARDO OLIVER', 'EZEQUIEL BRITOS SAN MARTIN']",15.0,0.35,0.01,00000000000000000000003e,Chaco,PRINCIPIOS Y VALORES,137
62,3015,5E- LABORISTA,"['PAULA LORENA ARIAS', 'WALTER VERA']",14.0,0.33,0.01,00000000000000000000003e,Chaco,PRINCIPIOS Y VALORES,137
63,3014,4D- GENTE DE TRABAJO,"['CARINA PAOLA BARTOLINI', 'MABEL GOMEZ']",9.0,0.21,0.01,00000000000000000000003e,Chaco,PRINCIPIOS Y VALORES,137
64,3017,A- IZQUIERDA ANTICAPITALISTA,"['MANUELA JIMENA CASTAÑEIRA', 'LUCAS RUIZ']",2437.0,100.0,0.39,00000000000000000000003e,Chaco,MOVIMIENTO AL SOCIALISMO,13
65,3027,B- CONFEDERAL,"['GABRIEL SANTIAGO CÚNEO', 'GUSTAVO BARRANCO']",1156.0,51.06,0.18,00000000000000000000003e,Chaco,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,90
66,3026,A- DIGNIDAD,"['RAUL ANIBAL CASTELLS', 'ADRIANA REINOSO']",1108.0,48.93,0.17,00000000000000000000003e,Chaco,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,90
67,3020,A- UNIDAD OBRERA,"['MARCELO ARMANDO RAMAL', 'PATRICIA URONES']",2035.0,100.0,0.32,00000000000000000000003e,Chaco,POLITICA OBRERA,92
68,3021,A- PRIMERO LA PATRIA,"['ALEJANDRO CESAR BIONDINI', 'MARIEL AVENDAÑO']",1490.0,100.0,0.23,00000000000000000000003e,Chaco,FRENTE PATRIOTA FEDERAL,95
69,3025,A- COMPROMISO VECINAL,"['RAUL HUMBERTO ALBARRACIN', 'SERGIO PASTORE']",1211.0,100.0,0.19,00000000000000000000003e,Chaco,MOVIMIENTO DE ACCION VECINAL,57
70,3004,C- ANTICORRUPCIÓN,"['JULIO DONATO BARBARO', 'RAMONA PUCHETA']",130.0,51.38,0.02,00000000000000000000003e,Chaco,FRENTE LIBER.AR,131
71,3003,B- RECONQUISTA,"['RAMIRO EDUARDO VASENA', 'VICTOR LAGONEGRO']",77.0,30.43,0.01,00000000000000000000003e,Chaco,FRENTE LIBER.AR,131
72,3002,A- DEMOS,"['NAZARENO GABRIEL ETCHEPARE', 'FERNANDO LORENZO']",46.0,18.18,0.01,00000000000000000000003e,Chaco,FRENTE LIBER.AR,131
73,3023,B- PATRIA UNIDA,"['MARTIN MIGUEL AYERBE ORTIZ', 'HUGO MAURICIO EZEQUIEL RODRIGUEZ']",84.0,65.11,0.01,00000000000000000000003e,Chaco,PROYECTO JOVEN,94
74,3022,A- COALICION PAZ DEMOCRACIA SOBERANIA,"['OSCAR ALFREDO RAMON GIARDINELLI', 'BARBARA MARA SOLERNOU GALLARDO']",39.0,30.23,0.01,00000000000000000000003e,Chaco,PROYECTO JOVEN,94
75,3024,C- TODEX,"['REINA XIOMARA IBAÑEZ', 'GONZALO RODRIGO IBARRA']",6.0,4.65,0.01,00000000000000000000003e,Chaco,PROYECTO JOVEN,94
76,3018,A- APERTURA LIBERAL ARGENTINA,"['ANDRES GABRIEL PASSAMONTI', 'PAMELA FERNANDEZ']",21.0,100.0,0.01,00000000000000000000003e,Chaco,UNION DEL CENTRO DEMOCRATICO,20
77,3016,A- LIBERTAD POR SIEMPRE,"['JAVIER GERARDO MILEI', 'VICTORIA VILLARRUEL']",124030.0,100.0,39.4,000000000000000000000048,Chubut,LA LIBERTAD AVANZA,135
78,3008,B- LA FUERZA DEL CAMBIO,"['PATRICIA BULLRICH', 'LUIS PETRI']",46785.0,61.07,14.86,000000000000000000000048,Chubut,JUNTOS POR EL CAMBIO,132
79,3007,A- EL CAMBIO DE NUESTRAS VIDAS,"['HORACIO ANTONIO RODRIGUEZ LARRETA', 'GERARDO MORALES']",29818.0,38.92,9.47,000000000000000000000048,Chubut,JUNTOS POR EL CAMBIO,132
80,3005,A- CELESTE Y BLANCA,"['SERGIO TOMAS MASSA', 'AGUSTIN ROSSI']",52536.0,73.13,16.69,000000000000000000000048,Chubut,UNION POR LA PATRIA,134
81,3006,B- JUSTA Y SOBERANA,"['JUAN GRABOIS', 'PAULA ABAL MEDINA']",19294.0,26.86,6.13,000000000000000000000048,Chubut,UNION POR LA PATRIA,134
82,3009,A- UNIR Y FORTALECER LA IZQUIERDA,"['MYRIAM TERESA BREGMAN', 'NICOLAS DEL CAÑO']",6656.0,63.88,2.11,000000000000000000000048,Chubut,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,136
83,3010,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,"['GABRIEL ESTEBAN SOLANO', 'VILMA RIPOLL']",3763.0,36.11,1.19,000000000000000000000048,Chubut,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,136
84,3001,A- HACEMOS,"['JUAN SCHIARETTI', 'FLORENCIO RANDAZZO']",7587.0,100.0,2.41,000000000000000000000048,Chubut,HACEMOS POR NUESTRO PAIS,133
85,3011,"1A- TIERRA, TECHO  Y TRABAJO","['MARIO GUILLERMO MORENO', 'LEONARDO RUBEN FABRE']",3094.0,98.94,0.98,000000000000000000000048,Chubut,PRINCIPIOS Y VALORES,137
86,3015,5E- LABORISTA,"['PAULA LORENA ARIAS', 'WALTER VERA']",17.0,0.54,0.01,000000000000000000000048,Chubut,PRINCIPIOS Y VALORES,137
87,3013,3C- TRES BANDERAS,"['JORGE EDUARDO OLIVER', 'EZEQUIEL BRITOS SAN MARTIN']",15.0,0.47,0.01,000000000000000000000048,Chubut,PRINCIPIOS Y VALORES,137
88,3014,4D- GENTE DE TRABAJO,"['CARINA PAOLA BARTOLINI', 'MABEL GOMEZ']",1.0,0.03,0.01,000000000000000000000048,Chubut,PRINCIPIOS Y VALORES,137
89,3017,A- IZQUIERDA ANTICAPITALISTA,"['MANUELA JIMENA CASTAÑEIRA', 'LUCAS RUIZ']",1959.0,100.0,0.62,000000000000000000000048,Chubut,MOVIMIENTO AL SOCIALISMO,13
