,Agrupación Política,Lista,Cargo,Posicion,Genero
3137,PARTIDO DEL OBRERO,UNIDAD DE TRABAJADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Masculino
3144,PARTIDO DEL OBRERO,UNIDAD DE TRABAJADORES Y LA IZQUIERDA,SENADORES NACIONALES,1,Femenino
3148,UNION POPULAR FEDERAL MNES,HACEMOS UNIDOS,DIPUTADOS NACIONALES,1,Masculino
3158,UNION POPULAR FEDERAL MNES,HACEMOS UNIDOS,SENADORES NACIONALES,1,Femenino
3162,ARRIBA NEUQUEN,A,DIPUTADOS NACIONALES,1,Femenino
3169,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Femenino
3176,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIR Y FORTALECER LA IZQUIERDA,DIPUTADOS NACIONALES,1,Femenino
3183,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,1,Femenino
3190,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,1,Masculino
3197,LIBRES Y SOCIALISTAS,OJALA LA TIERRA,DIPUTADOS NACIONALES,1,Femenino
3204,MOVIMIENTO POPULAR NEUQUINO,LETRA A   NEUQUEN PAIS,DIPUTADOS NACIONALES,1,Masculino
3211,MOVIMIENTO POPULAR NEUQUINO,UNIDOS POR NEUQUEN,DIPUTADOS NACIONALES,1,Masculino
3218,UNIÓN POR LA PATRIA,CELESTE Y BLANCA N°2,DIPUTADOS NACIONALES,1,Masculino
3225,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA,DIPUTADOS NACIONALES,1,Femenino
3234,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Femenino
3243,JUNTOS POR EL CAMBIO,B LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,1,Masculino
3252,JUNTOS POR EL CAMBIO,C EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,1,Masculino
3261,JUNTOS SOMOS RIO NEGRO,SIGAMOS CRECIENDO,DIPUTADOS NACIONALES,1,Masculino
3270,MOVIMIENTO AL SOCIALISMO,A IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,1,Masculino
3279,PARTIDO FE,A CON FE,DIPUTADOS NACIONALES,1,Femenino
3288,UNION POR LA PATRIA,A AZUL CELESTE Y BLANCA UNIDAD,DIPUTADOS NACIONALES,1,Masculino
3297,AHORA PATRIA,AHORA LIBERTAD A,DIPUTADOS NACIONALES,1,Femenino
3307,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA ,DIPUTADOS NACIONALES,1,Femenino
3317,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Femenino
3327,JUNTOS POR EL CAMBIO,CAMBIO RADICAL   D,DIPUTADOS NACIONALES,1,Masculino
3337,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS   B,DIPUTADOS NACIONALES,1,Femenino
3347,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO   A,DIPUTADOS NACIONALES,1,Masculino
3357,JUNTOS POR EL CAMBIO,PARA RENOVAR SALTA   C,DIPUTADOS NACIONALES,1,Masculino
3367,MOVIMIENTO AL SOCIALISMO,A IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,1,Masculino
3377,MOVIMIENTO LIBRES DEL SUR,40 AZUL Y ROJO   A,DIPUTADOS NACIONALES,1,Masculino
3387,PARTIDO AUTONOMISTA,HACEMOS UNIDOS POR SALTA A,DIPUTADOS NACIONALES,1,Masculino
3397,POLITICA OBRERA,UNIDAD OBRERA A,DIPUTADOS NACIONALES,1,Femenino
3407,SI-SALTA INDEPENDIENTE,A   POR UNA SALTA INDEPENDIENTE,DIPUTADOS NACIONALES,1,Masculino
3417,UNION POR LA PATRIA,UNION PARA LA VICTORIA K,DIPUTADOS NACIONALES,1,Masculino
3427,UNION POR LA PATRIA,UNION POR LA FELICIDAD DE SALTA C,DIPUTADOS NACIONALES,1,Femenino
3437,UNION POR LA PATRIA,UNION POR SALTA A,DIPUTADOS NACIONALES,1,Masculino
3447,ALIANZA JUNTOS POR EL CAMBIO,CAMBIA SAN JUAN,DIPUTADOS NACIONALES,1,Femenino
3456,ALIANZA JUNTOS POR EL CAMBIO,CAMBIA SAN JUAN,SENADORES NACIONALES,1,Masculino
3460,ALIANZA JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,1,Femenino
3469,ALIANZA JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,SENADORES NACIONALES,1,Masculino
3473,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,DIPUTADOS NACIONALES,1,Femenino
3482,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,SENADORES NACIONALES,1,Masculino
3486,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Masculino
3495,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SENADORES NACIONALES,1,Femenino
3499,FRENTE UNIÓN POR LA PATRIA - SAN JUAN,SAN JUAN VUELVE,DIPUTADOS NACIONALES,1,Masculino
3508,FRENTE UNIÓN POR LA PATRIA - SAN JUAN,SAN JUAN VUELVE,SENADORES NACIONALES,1,Masculino
3512,FRENTE UNIÓN POR LA PATRIA - SAN JUAN,VAMOS SAN JUAN,DIPUTADOS NACIONALES,1,Masculino
3521,FRENTE UNIÓN POR LA PATRIA - SAN JUAN,VAMOS SAN JUAN,SENADORES NACIONALES,1,Masculino
3525,LA LIBERTAD AVANZA,IDEAS DE LA LIBERTAD,DIPUTADOS NACIONALES,1,Masculino
3534,LA LIBERTAD AVANZA,IDEAS DE LA LIBERTAD,SENADORES NACIONALES,1,Masculino
3538,PARTIDO CRUZADA RENOVADORA,BLANCA UNIDAD,DIPUTADOS NACIONALES,1,Masculino
3547,PARTIDO CRUZADA RENOVADORA,BLANCA UNIDAD,SENADORES NACIONALES,1,Masculino
3551,PARTIDO MOVIMIENTO LIBRES DEL SUR - SIGLA L.D.S.,AZUL Y ROJO,DIPUTADOS NACIONALES,1,Masculino
3560,PARTIDO MOVIMIENTO LIBRES DEL SUR - SIGLA L.D.S.,AZUL Y ROJO,SENADORES NACIONALES,1,Masculino
3564,PARTIDO POPULAR,PRINCIPIO Y VALORES,DIPUTADOS NACIONALES,1,Masculino
3573,PARTIDO POPULAR,PRINCIPIO Y VALORES,SENADORES NACIONALES,1,Masculino
3577,PARTIDO SOCIALISTA,HACEMOS UNIDOS POR SAN JUAN,DIPUTADOS NACIONALES,1,Masculino
3586,PARTIDO SOCIALISTA,HACEMOS UNIDOS POR SAN JUAN,SENADORES NACIONALES,1,Masculino
3590,ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,1B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Masculino
3597,ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,1B UNIDAD DE LUCHADORES Y LA IZQUIERDA,SENADORES NACIONALES,1,Masculino
3601,ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,UNIR Y FORTALECER LA IZQUIERDA (1A),DIPUTADOS NACIONALES,1,Femenino
3608,ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,UNIR Y FORTALECER LA IZQUIERDA (1A),SENADORES NACIONALES,1,Femenino
3612,ALIANZA LA LIBERTAD AVANZA SAN LUIS,DOGMA LIBERTARIO,DIPUTADOS NACIONALES,1,Masculino
3619,ALIANZA LA LIBERTAD AVANZA SAN LUIS,DOGMA LIBERTARIO,SENADORES NACIONALES,1,Masculino
3623,JUNTOS POR EL CAMBIO  SAN LUIS,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,1,Masculino
3630,JUNTOS POR EL CAMBIO  SAN LUIS,EL CAMBIO DE NUESTRAS VIDAS,SENADORES NACIONALES,1,Femenino
3634,JUNTOS POR EL CAMBIO  SAN LUIS,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,1,Masculino
3641,JUNTOS POR EL CAMBIO  SAN LUIS,LA FUERZA DEL CAMBIO,SENADORES NACIONALES,1,Masculino
3645,MOVIMIENTO AL SOCIALISMO SAN LUIS,IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,1,Masculino
3652,MOVIMIENTO AL SOCIALISMO SAN LUIS,IZQUIERDA ANTICAPITALISTA,SENADORES NACIONALES,1,Masculino
3656,MOVIMIENTO LIBRES DEL SUR SAN LUIS,AZUL Y ROJO,DIPUTADOS NACIONALES,1,Femenino
3663,MOVIMIENTO LIBRES DEL SUR SAN LUIS,AZUL Y ROJO,SENADORES NACIONALES,1,Masculino
3667,PARTIDO DEMOCRATA SAN LUIS,DEMOCRATAS POR LA LIBERTAD,DIPUTADOS NACIONALES,1,Masculino
3674,PARTIDO DEMOCRATA SAN LUIS,DEMOCRATAS POR LA LIBERTAD,SENADORES NACIONALES,1,Femenino
3678,PARTIDO UNION Y LIBERTAD SAN LUIS,L1,DIPUTADOS NACIONALES,1,Masculino
3685,PARTIDO UNION Y LIBERTAD SAN LUIS,L1,SENADORES NACIONALES,1,Masculino
3689,UNION POR SAN LUIS,CELESTE UNIDAD,DIPUTADOS NACIONALES,1,Masculino
3696,UNION POR SAN LUIS,CELESTE UNIDAD,SENADORES NACIONALES,1,Masculino
3700,AGRUPACION MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,1,Masculino
3707,AGRUPACION MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,SENADORES NACIONALES,1,Masculino
3711,ALIANZA CAMBIA SANTA CRUZ,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,1,Masculino
3718,ALIANZA CAMBIA SANTA CRUZ,EL CAMBIO DE NUESTRAS VIDAS,SENADORES NACIONALES,1,Masculino
3722,ALIANZA CAMBIA SANTA CRUZ,SUMAMOS FUERZAS EN SANTA CRUZ,DIPUTADOS NACIONALES,1,Masculino
3729,ALIANZA CAMBIA SANTA CRUZ,SUMAMOS FUERZAS EN SANTA CRUZ,SENADORES NACIONALES,1,Femenino
3736,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Masculino
3743,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,SENADORES NACIONALES,1,Masculino
3747,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,DIPUTADOS NACIONALES,1,Femenino
3751,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,SENADORES NACIONALES,1,Femenino
3755,ALIANZA POR SANTA CRUZ,HACER SANTA CRUZ,DIPUTADOS NACIONALES,1,Masculino
3762,ALIANZA POR SANTA CRUZ,HACER SANTA CRUZ,SENADORES NACIONALES,1,Masculino
3766,ALIANZA UNION POR LA PATRIA,ACUERDO SANTACRUCEÑO,DIPUTADOS NACIONALES,1,Femenino
3773,ALIANZA UNION POR LA PATRIA,ACUERDO SANTACRUCEÑO,SENADORES NACIONALES,1,Femenino
3777,ALIANZA UNION POR LA PATRIA,CONSTRUYAMOS JUNTOS,DIPUTADOS NACIONALES,1,Femenino
3784,ALIANZA FRENTE AMPLIO POR LA SOBERANIA,A   SOBERANíA POPULAR,DIPUTADOS NACIONALES,1,Masculino
3800,ALIANZA FRENTE DE IZQUIERDA Y TRABAJADORES- UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA ,DIPUTADOS NACIONALES,1,Femenino
3819,ALIANZA FRENTE DE IZQUIERDA Y TRABAJADORES- UNIDAD,UNIR Y FORTALECER LA IZQUIERDA A,DIPUTADOS NACIONALES,1,Masculino
3838,ALIANZA JUNTOS POR EL CAMBIO,A. EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,1,Masculino
3857,ALIANZA JUNTOS POR EL CAMBIO,B. LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,1,Masculino
3876,ALIANZA LA FUERZA DE SANTA FE,PARTICIPACION Y SOLIDARIDAD  LETRA A,DIPUTADOS NACIONALES,1,Masculino
3895,ALIANZA LA LIBERTAD AVANZA,LISTA A: LIBERTAD POR SIEMPRE,DIPUTADOS NACIONALES,1,Femenino
3914,ALIANZA NUEVO RUMBO,1A   VECINOS CON RUMBO,DIPUTADOS NACIONALES,1,Femenino
3933,ALIANZA NUEVO RUMBO,2B   POR LOS VALORES,DIPUTADOS NACIONALES,1,Masculino
3951,ALIANZA NUEVO RUMBO,3C   RECREO SOCIAL,DIPUTADOS NACIONALES,1,Masculino
3970,ALIANZA UNION POR LA PATRIA,A  CELESTE Y BLANCA,DIPUTADOS NACIONALES,1,Masculino
3989,ENCUENTRO REPUBLICANO FEDERAL,A   DEMOS,DIPUTADOS NACIONALES,1,Masculino
4008,ENCUENTRO REPUBLICANO FEDERAL,B   MODERADO,DIPUTADOS NACIONALES,1,Masculino
4027,ENCUENTRO REPUBLICANO FEDERAL,C   REPUBLICANO POPULAR,DIPUTADOS NACIONALES,1,Femenino
4046,LEALTAD Y DIGNIDAD,A SANTA FE PRIMERO,DIPUTADOS NACIONALES,1,Masculino
4065,LEALTAD Y DIGNIDAD,B PRODUCCION Y JUSTICIA SOCIAL,DIPUTADOS NACIONALES,1,Masculino
4084,LEALTAD Y DIGNIDAD,C LA NUEVA SANTA FE,DIPUTADOS NACIONALES,1,Masculino
4103,LEALTAD Y DIGNIDAD,D CREZCAMOS POR SANTA FE,DIPUTADOS NACIONALES,1,Masculino
4122,LEALTAD Y DIGNIDAD,E RECUPERANDO NUESTRA CULTURA,DIPUTADOS NACIONALES,1,Masculino
4141,LEALTAD Y DIGNIDAD,F UNIDAD SANTAFESINA,DIPUTADOS NACIONALES,1,Masculino
4160,LEALTAD Y DIGNIDAD,G POR LOS PRINCIPIOS SOCIALES,DIPUTADOS NACIONALES,1,Masculino
4179,MOVIMIENTO INDEPENDIENTE RENOVADOR,1 A   DESARROLLO AGRO INDUSTRIAL,DIPUTADOS NACIONALES,1,Femenino
4201,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,1A SANTA FE SEGURA,DIPUTADOS NACIONALES,1,Femenino
4217,MOVIMIENTO LIBRES DEL SUR,A. AZUL Y ROJO,DIPUTADOS NACIONALES,1,Femenino
4239,PARTIDO AUTONOMISTA,1A  AUTONOMISTA EN MARCHA,DIPUTADOS NACIONALES,1,Masculino
4256,PARTIDO AUTONOMISTA,2B  DIGNIDAD ANIMAL,DIPUTADOS NACIONALES,1,Masculino
4275,PARTIDO AUTONOMISTA,3C  RENACER,DIPUTADOS NACIONALES,1,Masculino
4291,PARTIDO AUTONOMISTA,4D  FUTURO MEJOR,DIPUTADOS NACIONALES,1,Femenino
4309,PARTIDO FE,1A   SIEMPRE CON FE,DIPUTADOS NACIONALES,1,Masculino
4328,PARTIDO FE,2B   VAMOS CON FE,DIPUTADOS NACIONALES,1,Femenino
4350,PARTIDO FE,3C  NUEVO HORIZONTE,DIPUTADOS NACIONALES,1,Masculino
4366,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,LISTA A CON LOS MISMOS NO,DIPUTADOS NACIONALES,1,Masculino
4385,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,LISTA B PRIMERO SANTA FE,DIPUTADOS NACIONALES,1,Femenino
4404,PROYECTO JOVEN,A   PATRIA UNIDA,DIPUTADOS NACIONALES,1,Masculino
4423,PROYECTO JOVEN,B   FRENTE JOVEN,DIPUTADOS NACIONALES,1,Masculino
4442,PROYECTO JOVEN,C   PATRIA Y FUTURO,DIPUTADOS NACIONALES,1,Masculino
4461,ENCUENTRO REPUBLICANO FEDERAL,DESPIERTA SANTIAGO,DIPUTADOS NACIONALES,1,Masculino
4471,ENCUENTRO REPUBLICANO FEDERAL,MOVIMIENTO VIABLE,DIPUTADOS NACIONALES,1,Masculino
4481,FRENTE CIVICO POR SANTIAGO,TODOS POR SANTIAGO,DIPUTADOS NACIONALES,1,Masculino
4491,FRENTE PATRIOTA FEDERAL,PATRIOTAS,DIPUTADOS NACIONALES,1,Masculino
4501,FRENTE RENOVADOR,HAY ALTERNATIVA,DIPUTADOS NACIONALES,1,Masculino
4511,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,1,Femenino
4521,MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,DIPUTADOS NACIONALES,1,Masculino
4531,NUEVA IZQUIERDA,A UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Femenino
4541,PARTIDO AUTONOMISTA,A 9 DE JULIO,DIPUTADOS NACIONALES,1,Masculino
4551,PARTIDO AUTONOMISTA,B SANTIAGO LO MERECE,DIPUTADOS NACIONALES,1,Femenino
4561,PARTIDO AUTONOMISTA,C SANTIAGO AUTONOMISTA,DIPUTADOS NACIONALES,1,Femenino
4571,PARTIDO AUTONOMISTA,D PATRIA GRANDE,DIPUTADOS NACIONALES,1,Masculino
4581,PARTIDO LABORISTA,LIBERTAD Y TRABAJO,DIPUTADOS NACIONALES,1,Femenino
4591,PARTIDO UNION CELESTE Y BLANCO,LA LIBERTAD AVANZA,DIPUTADOS NACIONALES,1,Femenino
4601,POLITICA OBRERA,UNIDAD OBRERA,DIPUTADOS NACIONALES,1,Femenino
4611,PRINCIPIOS Y VALORES,A VOCES LIBERTARIAS SDE,DIPUTADOS NACIONALES,1,Masculino
4619,PRINCIPIOS Y VALORES,C POR LOS VALORES,DIPUTADOS NACIONALES,1,Masculino
4626,PROYECTO JOVEN,JOVENES EN ACCION,DIPUTADOS NACIONALES,1,Masculino
4636,TRES BANDERAS,INDEPENDENCIA,DIPUTADOS NACIONALES,1,Masculino
4646,TRES BANDERAS,POR LA JUSTICIA,DIPUTADOS NACIONALES,1,Masculino
4656,TRES BANDERAS,SOBERANIA,DIPUTADOS NACIONALES,1,Masculino
4666,ALIANZA FRENTE DE IZQUIERDA DE TRABAJADORES - UNIDAD,UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Femenino
4675,ALIANZA FRENTE DE IZQUIERDA DE TRABAJADORES - UNIDAD,UNIR Y FORTALECER LA IZQUIERDA 1 A,DIPUTADOS NACIONALES,1,Femenino
4684,ALIANZA HACEMOS POR NUESTRO PAÍS,HACEMOS,DIPUTADOS NACIONALES,1,Masculino
4693,ALIANZA JUNTOS POR EL CAMBIO TDF,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,1,Masculino
4702,ALIANZA JUNTOS POR EL CAMBIO TDF,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,1,Masculino
4711,ALIANZA UNIÓN POR LA PATRIA,LISTA CELESTE Y BLANCA,DIPUTADOS NACIONALES,1,Femenino
4720,MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,1,Masculino
4729,REPUBLICANOS UNIDOS,FUEGUINOS,DIPUTADOS NACIONALES,1,Masculino
4738,SOMOS FUEGUINOS,167 A PRIMERO TIERRA DEL FUEGO,DIPUTADOS NACIONALES,1,Femenino
4744,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA,DIPUTADOS NACIONALES,1,Femenino
4755,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Masculino
4766,FRENTE UNION POR LA PATRIA,CELESTE Y BLANCA,DIPUTADOS NACIONALES,1,Masculino
4777,FUERZA REPUBLICANA,CELESTE Y BLANCA,DIPUTADOS NACIONALES,1,Masculino
4788,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,1,Masculino
4799,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,1,Masculino
4810,MOVIMIENTO LIBRES DEL SUR,PRIMERO TUCUMAN,DIPUTADOS NACIONALES,1,Masculino
4821,POLITICA OBRERA,UNIDAD OBRERA,DIPUTADOS NACIONALES,1,Femenino
4832,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
4872,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
4912,FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
4950,HACEMOS POR NUESTRO PAIS,HACEMOS,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
4988,JUNTOS POR EL CAMBIO,LISTA A EL CAMBIO DE NUESTRAS VIDAS,PARLAMENTARIOS DEL MERCOSUR,1,Femenino
5023,JUNTOS POR EL CAMBIO,LISTA B LA FUERZA DEL CAMBIO,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5063,LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5103,LIBER.AR,A DEMOS,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5143,MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5184,MOVIMIENTO DE ACCION VECINAL,LISTA  A  COMPROMISO VECINAL,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5222,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,PARLAMENTARIOS DEL MERCOSUR,1,Femenino
5262,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5301,MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5341,POLíTICA OBRERA,A UNIDAD OBRERA,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5381,PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5412,PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,PARLAMENTARIOS DEL MERCOSUR,1,Femenino
5450,PROYECTO JOVEN,NUEVA DEMOCRACIA,PARLAMENTARIOS DEL MERCOSUR,1,Femenino
5488,PROYECTO JOVEN,TODEX,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5530,UNION POR LA PATRIA,CELESTE Y BLANCA,PARLAMENTARIOS DEL MERCOSUR,1,Femenino
5572,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5610,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5648,FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5684,HACEMOS POR NUESTRO PAIS,HACEMOS,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5720,JUNTOS POR EL CAMBIO,LISTA A EL CAMBIO DE NUESTRAS VIDAS,PARLAMENTARIOS DEL MERCOSUR,1,Femenino
5753,JUNTOS POR EL CAMBIO,LISTA B LA FUERZA DEL CAMBIO,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5791,LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5829,LIBER.AR,A DEMOS,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5865,LIBER.AR,LISTA C ANTICORRUPCION,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5903,MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5940,MOVIMIENTO DE ACCION VECINAL,LISTA  A  COMPROMISO VECINAL,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
5978,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,PARLAMENTARIOS DEL MERCOSUR,1,Femenino
6016,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
6053,MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
6091,POLíTICA OBRERA,A UNIDAD OBRERA,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
6129,PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",PARLAMENTARIOS DEL MERCOSUR,1,Masculino
6158,PRINCIPIOS Y VALORES,2B TRANSFORMAR,PARLAMENTARIOS DEL MERCOSUR,1,Femenino
6195,PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,PARLAMENTARIOS DEL MERCOSUR,1,Femenino
6231,PROYECTO JOVEN,NUEVA DEMOCRACIA,PARLAMENTARIOS DEL MERCOSUR,1,Femenino
6267,PROYECTO JOVEN,TODEX,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
6305,UNION POR LA PATRIA,CELESTE Y BLANCA,PARLAMENTARIOS DEL MERCOSUR,1,Femenino
6343,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
6381,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
6419,FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
6455,HACEMOS POR NUESTRO PAIS,HACEMOS,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
6491,JUNTOS POR EL CAMBIO,LISTA A EL CAMBIO DE NUESTRAS VIDAS,PARLAMENTARIOS DEL MERCOSUR,1,Femenino
6524,JUNTOS POR EL CAMBIO,LISTA B LA FUERZA DEL CAMBIO,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
6562,LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,PARLAMENTARIOS DEL MERCOSUR,1,Masculino
