,Agrupación Política,Lista,Cargo,Posicion,Genero
1658,APTITUD RENOVADORA,A HACEMOS POR NUESTRA CIUDAD,DIPUTADOS NACIONALES,1,Masculino
1680,EL MOVIMIENTO,B DEMOS,DIPUTADOS NACIONALES,1,Femenino
1702,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA,DIPUTADOS NACIONALES,1,Masculino
1725,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,1,Femenino
1748,FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA,DIPUTADOS NACIONALES,1,Masculino
1771,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS A,DIPUTADOS NACIONALES,1,Masculino
1794,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO B,DIPUTADOS NACIONALES,1,Masculino
1817,LA IZQUIERDA EN LA CIUDAD,A IZQUIERDA ANTICAPITALISTA   A,DIPUTADOS NACIONALES,1,Masculino
1840,LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,DIPUTADOS NACIONALES,1,Femenino
1861,MOVIMIENTO DE JUBILADOS Y JUVENTUD,A TOLERANCIA,DIPUTADOS NACIONALES,1,Masculino
1882,MOVIMIENTO LIBRES DEL SUR,LISTA A AZUL Y ROJO,DIPUTADOS NACIONALES,1,Femenino
1905,PARTIDO DEMOCRATA CRISTIANO,HACEMOS POR CABA,DIPUTADOS NACIONALES,1,Masculino
1928,POLíTICA OBRERA,A UNIDAD OBRERA,DIPUTADOS NACIONALES,1,Masculino
1947,PRINCIPIOS Y VALORES,A GOBERNAR ES CREAR TRABAJO,DIPUTADOS NACIONALES,1,Femenino
1969,REPUBLICANOS UNIDOS,A REPUBLICANOS,DIPUTADOS NACIONALES,1,Masculino
1992,UNION POR LA PATRIA,A ALTERNATIVA PARA GANAR BUENOS AIRES,DIPUTADOS NACIONALES,1,Femenino
2018,ESTAMOS,LA INMENSA MINORìA,DIPUTADOS NACIONALES,1,Masculino
2033,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,UNIDAD DE LUCHADORES Y LA IZQUIERDA B,DIPUTADOS NACIONALES,1,Femenino
2051,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,UNIR Y FORTALECER LA IZQUIERDA A,DIPUTADOS NACIONALES,1,Femenino
2069,FRENTE FEDERAL DE ACCION SOLIDARIA,FRENTE FEDERAL CORDOBA,DIPUTADOS NACIONALES,1,Masculino
2087,HACEMOS POR NUESTRO PAIS,HACEMOS UNIDOS POR CORDOBA   A,DIPUTADOS NACIONALES,1,Masculino
2105,HUMANISTA,A CORDOBA HUMANISTA,DIPUTADOS NACIONALES,1,Masculino
2123,JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS A,DIPUTADOS NACIONALES,1,Masculino
2140,JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO C,DIPUTADOS NACIONALES,1,Masculino
2158,JUNTOS POR EL CAMBIO,UNIDAD POR EL CAMBIO,DIPUTADOS NACIONALES,1,Masculino
2176,LA LIBERTAD AVANZA,VIVA LA LIBERTAD,DIPUTADOS NACIONALES,1,Femenino
2194,LA LIBERTAD PRIMERO,LA LIBERTAD PRIMERO,DIPUTADOS NACIONALES,1,Masculino
