AP,Nombre_lista,Tipo_eleccion,Distrito,Cargo,Subcategoria Cargo,Posicion,Precandidatura,Genero,Edad
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,15,NICOLAS JAVIER FAYAD,M,34
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,16,NAHIR MAGALI MONZON,F,29
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,17,JAVIER JOSE RAMON THEA,M,34
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,18,BETTINA MONICA ROMERO,F,58
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,19,GUSTAVO HERNAN TURKIENICZ,M,46
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,1,LAURA GABRIELA URDANGARIZ,F,50
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,2,NORBERTO WALTER RUIZ,M,50
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,3,MIRTHA GRACIELA GOMEZ GIMENEZ,F,56
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,4,LUIS ALBERTO VIERA,M,41
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,5,VERONICA ALEJANDRA BRANDÁN,F,36
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,6,FEDERICO JULIAN GOMEZ,M,29
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,7,VERONICA NOEMI AZAME,F,32
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,8,MAXIMILIANO HECTOR PINFFERE,M,44
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,9,NANCI RAQUEL LUGO,F,54
PRINCIPIOS Y VALORES,"1A TIERRA, TECHO Y TRABAJO",NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,10,FERNANDO GABRIEL TALAMONA,M,30
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,1,GABRIELA VICTORIA GOMEZ,F,51
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,2,DIEGO HORACIO MORETTI,M,50
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,3,VIVIANA ANDREA DE STEFANO,F,48
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,4,FERNANDO PABLO NEMIÑA,M,54
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,5,LILIANA BEATRIZ ACOSTA,F,60
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,6,ALAN CLAUDIO ALEGRE,M,31
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,7,CLAUDIA MICAELA AYALA,F,45
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,8,JOSE OMAR PAZ,M,35
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,9,SANDRA ALEJANDRA CHOQUE,F,44
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,10,SEBASTIAN RICARDO MAIDANA,M,38
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,11,MARIA ISABEL CUENCA,F,52
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,12,CLAUDIO ALBERTO FULLES,M,61
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,13,INES TERESA AHUMADA,F,48
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,14,JONATAN FABIAN CAMPOS,M,35
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,15,VERONICA FLEITAS,F,53
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,16,HECTOR LUCAS YBASCA,M,43
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,17,PAULA GISELA CAVEZA,F,38
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,18,FERNANDO JAVIER RIOS,M,40
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,19,CLARA LUCI TOLOZA,F,55
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,1,ALBERTO ORLANDO FURNARI,M,38
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,2,ROMINA TESSITORE,F,41
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,3,ADAN IVAN OLIVETTI,M,35
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,4,FERNANDA SOLEDAD TAPIA,F,44
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,5,DAVID EZEQUIEL TAMAY,M,39
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,6,EMILCE JUDITH GARCIA,F,28
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,7,RICARDO DANIEL SANABRIA,M,40
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,8,MARINA JULIETA BENITEZ,F,48
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,9,DANIEL OMAR TABORDA,M,42
PRINCIPIOS Y VALORES,2B TRANSFORMAR,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,10,DAIANA GISELA CARDOZO,F,31
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,1,ROMINA ANDREA ACOSTA,F,35
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,2,MARIO ESTEBAN ALDERETE,M,43
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,3,SABRINA DAIANA OJEDA,F,27
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,4,JUAN DE JESÚS CABRERA,M,49
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,5,ALEXIS SOLANGE VIDAL,F,30
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,6,CRISTIAN FABIAN ALLENDE,M,46
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,7,LEONELA MARIEL MAIDANA,F,34
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,8,CLAUDIO MARCELO DIAZ,M,52
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,9,MALI MELANIA ALDERETE,F,40
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,10,SILVIO DAMIAN LITVIN,M,79
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,11,CLAUDIA MABEL RUIZ,F,49
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,12,RAUL ANTONIO PERALTA,M,63
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,13,NORMA LILIANA AIZAMA,F,49
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,14,ANDRES ALFONSO ALMONACID,M,42
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,15,MARIA EUGENIA RODRIGUEZ,F,51
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,16,CARLOS DANIEL ROJAS,M,43
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,17,NIDDIA SUTTNER ALVARADO,F,69
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,18,MANUEL ALEJANDRO CHAURA,M,29
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,TITULARES,19,ELSA BEATRIZ DE FATIMA HASAN JALIL,F,66
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,1,JORGE ALEJANDRO CARDENEZ,M,38
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,2,ANDREA ALEJANDRA NOVA VAZQUEZ,F,46
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,3,JORGE JOSE VARGAS,M,51
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,4,MAIRA LORENA ALDERETE,F,48
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,5,GUSTAVO VELAZQUEZ,M,45
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,6,MARGARITA OFELIA MOLTENI,F,73
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,7,JUAN ALBERTO OJEDA,M,59
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,8,FLORENCIA ANDREA BATISTA,F,26
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,9,WALTER DAMIAN OÑATIBIA,M,31
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,10,PAULA IRENE LUGONES ALDAO,F,49
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,11,GUILLERMO PABLO DIAZ ORTEGO,M,79
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,12,MARIA DE LOS ANGELES MORINICO,F,51
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,13,NICOLAS LEONEL BUSTOS,M,28
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,14,SILVIA INES CABAÑA,F,60
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,15,NICOLAS CALDERON,M,36
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA,NACIONAL,CHACO,PARLAMENTARIOS DEL MERCOSUR,SUPLENTES,16,CLAUDIA GRISELDA PICCO,F,49
