Agrupación Política,Lista,Distrito,Cargo,Subcategoría Cargo,Posición,Precandidato,Género,Edad
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,13,PEDRO ALBERTO NIEVA,M,39
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,14,MARTA BEATRIZ GAYONE,F,77
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,15,ALEJANDRO RODRIGO FERNANDEZ,M,53
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,16,PAULA FLORENCIA SURIANI,F,53
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,17,GASTON NAHUEL SOSA,M,35
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,18,YAMILA LORENA CASTELLANOS,F,32
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,19,ALBERTO MARTIN D' IGNAZI,M,50
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,20,DEBORAH ELIZABETH NIEVA,F,46
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,21,CARLOS ENRIQUE ROLON,M,37
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,22,MARIA GIMENA SISTERNA,F,36
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,23,RICARDO JAVIER CISNEROS,M,43
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,24,CARMEN ROSA ECHEVERRIA,F,57
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,25,NESTOR FABIAN CARRION,M,36
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,26,FELICIA ESTER MONTIEL,F,50
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,27,HUGO ALFREDO CISNEROS,M,68
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,28,LUCIANA PRISCILA ORTIGOZA,F,28
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,29,ROBERTO MANUEL CABALLERO,M,40
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,30,CINTIA GISELLE LUCERO,F,40
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,31,ALBERTO DANIEL BARRIENTOS,M,32
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,32,CINTIA VANESA GONZALEZ,F,33
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,33,LEANDRO DAVID GAUNA,M,29
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,34,ANALIA BELEN SANCHEZ,F,37
CONFIANZA PUBLICA,VALORES EN ACCION,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,35,CRISTIAN BERNARDO HERZOG,M,60
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,1,FEDERICO GABRIEL MAGGIO,M,47
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,2,SILVIA ESTELA JAIME,F,59
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,3,DAVID JORGE KABOBEL,M,67
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,4,MARIA DIONISIA MARTINEZ,F,50
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,5,JORGE RAMON MARTINEZ,M,29
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,6,DANIELA ANGELA LOPEZ,F,38
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,7,JULIO PABLO JUAREZ,M,60
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,8,GRISELDA NAHIR FERREIRA,F,28
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,9,JUAN MANUEL PASCUAL GUERRIERI WELKER,M,44
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,10,LORENA INES ROLON,F,34
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,11,XAVIER NAHIR LLORET,M,30
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,12,ANDREA SOLEDAD JUAREZ,F,31
