,Lista,Candidatos,Votos,perc_interna,percAbs,Name,Partido
80,A- CELESTE Y BLANCA,MASSA-ROSSI,52536,73.13,16.69,Chubut,UNION POR LA PATRIA
81,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,19294,26.86,6.13,Chubut,UNION POR LA PATRIA
82,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,6656,63.88,2.11,Chubut,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
83,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,3763,36.11,1.19,Chubut,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
84,A- HACEMOS,SCHIARETTI-RANDAZZO,7587,100.0,2.41,Chubut,HACEMOS POR NUESTRO PAIS
85,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,3094,98.94,0.98,Chubut,PRINCIPIOS Y VALORES
86,5E- LABORISTA,ARIAS-VERA,17,0.54,0.01,Chubut,PRINCIPIOS Y VALORES
87,3C- TRES BANDERAS,OLIVER-SAN MARTIN,15,0.47,0.01,Chubut,PRINCIPIOS Y VALORES
88,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,1,0.03,0.01,Chubut,PRINCIPIOS Y VALORES
89,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,1959,100.0,0.62,Chubut,MOVIMIENTO AL SOCIALISMO
90,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,1926,100.0,0.61,Chubut,MOVIMIENTO LIBRES DEL SUR
91,A- UNIDAD OBRERA,RAMAL-URONES,1367,100.0,0.43,Chubut,POLITICA OBRERA
92,B- CONFEDERAL,CÚNEO-BARRANCO,1022,88.86,0.32,Chubut,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
93,A- DIGNIDAD,CASTELLS-REINOSO,128,11.13,0.04,Chubut,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
94,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,905,100.0,0.28,Chubut,FRENTE PATRIOTA FEDERAL
95,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,819,100.0,0.26,Chubut,MOVIMIENTO DE ACCION VECINAL
96,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,90,56.6,0.02,Chubut,FRENTE LIBER.AR
97,B- RECONQUISTA,VASENA-LAGONEGRO,63,39.62,0.02,Chubut,FRENTE LIBER.AR
98,A- DEMOS,ETCHEPARE-LORENZO,6,3.77,0.01,Chubut,FRENTE LIBER.AR
99,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,96,100.0,0.03,Chubut,UNION DEL CENTRO DEMOCRATICO
100,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,27,36.0,0.01,Chubut,PROYECTO JOVEN
101,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,26,34.66,0.01,Chubut,PROYECTO JOVEN
102,C- TODEX,IBAÑEZ-IBARRA,22,29.33,0.01,Chubut,PROYECTO JOVEN
103,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,476010,58.53,28.28,Capital Federal,JUNTOS POR EL CAMBIO
