Agrupación Política,Lista,Distrito,Cargo,Subcategoría Cargo,Posición,Precandidato,Género,Edad
PARTIDO LIBERTARIO,LIBERTARIOS,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,GUILLERMO AMERICO AGUIRRE,M,36
PARTIDO LIBERTARIO,LIBERTARIOS,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,CLARA LUJAN CARBONE PAZ,F,56
PARTIDO LIBERTARIO,LIBERTARIOS,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,RODRIGO SEBASTIAN MEDRANO,M,32
PARTIDO MOVIMIENTO ORGANIZACION DEMOCRATICA (MODE),UNIDAD,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,FERNANDO JORGE DI FILIPPO,M,70
PARTIDO MOVIMIENTO ORGANIZACION DEMOCRATICA (MODE),UNIDAD,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,AGUSTINA YOLANDA VALDEZ,F,77
PARTIDO PRINCIPIOS Y VALORES,FUERZA FEDERAL,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,ROBERTO EDUARDO DAMBORIANA,M,71
PARTIDO PRINCIPIOS Y VALORES,FUERZA FEDERAL,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,VERONICA ALEJANDRA DEOTO,F,48
PARTIDO PRINCIPIOS Y VALORES,FUERZA FEDERAL,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,CRISTIAN GABRIEL CONTURIER,M,49
PARTIDO PRINCIPIOS Y VALORES,FUERZA FEDERAL,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,LUCIA FLORENCIA MIÑO,F,36
PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,ANDREA NATALIA MELO,F,37
PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,CARLOS ANTONIO DUARTE,M,70
PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,KARINA GISELA GELVES,F,35
PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,ADRIÁN POSE,M,49
PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,CLAUDIO SERGIO MILILLO,M,53
PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,MERCEDES BEATRIZ DIAZ,F,49
PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,ALEJANDRO ROBERTO SALINAS,M,60
PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,TAMARA SOLEDAD MONTES,F,33
PARTIDO VOCACION SOCIAL,VALORES Y SOLIDARIDAD,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,NAHUEL BECHARA ARCURI,M,30
PARTIDO VOCACION SOCIAL,VALORES Y SOLIDARIDAD,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,MARÍA EUGENIA CORONEL DIAZ,F,44
PARTIDO VOCACION SOCIAL,VALORES Y SOLIDARIDAD,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,MARCELO LUIS ADORNO,M,57
PARTIDO VOCACION SOCIAL,VALORES Y SOLIDARIDAD,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,ANALIA CLAUDIA COLOMBO,F,54
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,AZUL UNICA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,LUIS PABLO NARVAJA,M,68
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,AZUL UNICA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,MARÍA BELÉN DI PASQUALE,F,37
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,AZUL UNICA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,NESTOR ANDRES DI PASQUALE,M,33
POLITICA OBRERA,UNIDAD OBRERA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,MANUEL IGNACIO QUIROGA,M,45
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,RODOLFO PABLO TREBER,M,35
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,JACQUELINE CORDO,F,35
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,ROBERTO CARLOS SINGH,M,50
PROYECTO JOVEN,COALICION PAZ DEMOCRACIA SOBERANIA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,LORENA INES BARRERA,F,46
PROYECTO JOVEN,FRENTE JOVEN,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,CARLOS ALBERTO TOBAR,M,49
PROYECTO JOVEN,FRENTE JOVEN,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,DIANA YAMINA DIAZ,F,44
PROYECTO JOVEN,FRENTE JOVEN,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,EMMANUEL BARROS,M,32
PROYECTO JOVEN,FRENTE JOVEN,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,EDITH LILIANA PAREDES,F,63
PROYECTO JOVEN,PATRIA UNIDA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,PABLO HERNAN ARGÜELLO,M,44
PROYECTO JOVEN,PATRIA UNIDA,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,GRACIELA SUSANA ROCHA,F,42
PROYECTO JOVEN,PATRIA UNIDA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,JORGE GABRIEL CASARES,M,69
PROYECTO JOVEN,PATRIA UNIDA,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,MARCELA MYRIAM BONETTI,F,60
TODOS POR BUENOS AIRES,,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,DAIANA MARCELA PAEZ,F,32
TODOS POR BUENOS AIRES,,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,CESAR RAMON FERREYRA,M,49
TODOS POR BUENOS AIRES,,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,PAULA ADRIANA DE LA FUENTE,F,36
TODOS POR BUENOS AIRES,,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,JAVIER DANIEL MASSOLO,M,34
UNION POR LA PATRIA,CELESTE Y BLANCA NÚMERO LISTA 2,BUENOS AIRES,SENADORES NACIONALES,TITULARES,1,EDUARDO WADO DE PEDRO,M,47
UNION POR LA PATRIA,CELESTE Y BLANCA NÚMERO LISTA 2,BUENOS AIRES,SENADORES NACIONALES,TITULARES,2,JULIANA DI TULLIO,F,52
UNION POR LA PATRIA,CELESTE Y BLANCA NÚMERO LISTA 2,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,1,JULIAN ANDRES DOMINGUEZ,M,60
UNION POR LA PATRIA,CELESTE Y BLANCA NÚMERO LISTA 2,BUENOS AIRES,SENADORES NACIONALES,SUPLENTES,2,MARINA ALEJANDRA MORETTI,F,49
JUNTOS POR EL CAMBIO,#PODES CONFIAR ESTAMOS CON VOS,FORMOSA,SENADORES NACIONALES,TITULARES,1,FERNANDO CARBAJAL,M,59
JUNTOS POR EL CAMBIO,#PODES CONFIAR ESTAMOS CON VOS,FORMOSA,SENADORES NACIONALES,TITULARES,2,MARIA CELESTE RUIZ DIAZ,F,43
JUNTOS POR EL CAMBIO,#PODES CONFIAR ESTAMOS CON VOS,FORMOSA,SENADORES NACIONALES,SUPLENTES,1,FABRIZIO VILLAGGI,M,33
JUNTOS POR EL CAMBIO,#PODES CONFIAR ESTAMOS CON VOS,FORMOSA,SENADORES NACIONALES,SUPLENTES,2,PATRICIA ELIZABETH CAPPELLO,F,59
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,FORMOSA,SENADORES NACIONALES,TITULARES,1,LUIS CARLOS PETCOFF NAIDENOFF,M,56
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,FORMOSA,SENADORES NACIONALES,TITULARES,2,AGOSTINA VILLAGGI,F,38
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,FORMOSA,SENADORES NACIONALES,SUPLENTES,1,MARTIN OSVALDO HERNANDEZ,M,51
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,FORMOSA,SENADORES NACIONALES,SUPLENTES,2,NORMA BEATRIZ AYALA,F,47
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,FORMOSA,SENADORES NACIONALES,TITULARES,1,FRANCISCO MANUEL PAOLTRONI,M,42
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,FORMOSA,SENADORES NACIONALES,TITULARES,2,NELIDA ELVA SOTELO,F,55
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,FORMOSA,SENADORES NACIONALES,SUPLENTES,1,FABIAN ALCIDES FIRMAN,M,55
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,FORMOSA,SENADORES NACIONALES,SUPLENTES,2,MAGDALENA ELIZABETH BARRIOS,F,65
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,FORMOSA,SENADORES NACIONALES,TITULARES,1,GERVASIO ANTONIO NIEVA,M,62
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,FORMOSA,SENADORES NACIONALES,TITULARES,2,ALEJANDRA ELIZABETH SOTO,F,41
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,FORMOSA,SENADORES NACIONALES,SUPLENTES,1,RAUL ARSENIO DIAZ EBEL,M,51
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,FORMOSA,SENADORES NACIONALES,SUPLENTES,2,NORMA MARIA JIMENA DIAZ,F,30
UNION POR LA PATRIA,"LISTA 2 CELESTE, BLANCA Y AZUL",FORMOSA,SENADORES NACIONALES,TITULARES,1,JOSE MIGUEL ANGEL MAYANS,M,66
UNION POR LA PATRIA,"LISTA 2 CELESTE, BLANCA Y AZUL",FORMOSA,SENADORES NACIONALES,TITULARES,2,MARIA TERESA MARGARITA GONZALEZ,F,62
UNION POR LA PATRIA,"LISTA 2 CELESTE, BLANCA Y AZUL",FORMOSA,SENADORES NACIONALES,SUPLENTES,1,GILDO INSFRAN,M,72
UNION POR LA PATRIA,"LISTA 2 CELESTE, BLANCA Y AZUL",FORMOSA,SENADORES NACIONALES,SUPLENTES,2,CRISTINA SUSANA MIRASSOU,F,71
CAMBIA JUJUY,LISTA A SIGAMOS CAMBIANDO JUJUY,JUJUY,SENADORES NACIONALES,TITULARES,1,MARIO FIAD,M,66
