Agrupación Política,Lista,Distrito,Subcategoría Cargo,Posición,Precandidato,Género,Edad,Age_Bin,Age_Range
JUNTOS POR EL CAMBIO  SAN LUIS,EL CAMBIO DE NUESTRAS VIDAS,SAN LUIS,SUPLENTES,2,WALDO AMÉRICO PEREZ,M,58,5,56-61
JUNTOS POR EL CAMBIO  SAN LUIS,LA FUERZA DEL CAMBIO,SAN LUIS,TITULARES,1,JORGE ALBERTO LUCERO,M,55,4,51-56
JUNTOS POR EL CAMBIO  SAN LUIS,LA FUERZA DEL CAMBIO,SAN LUIS,TITULARES,2,SANDRA ELIZABETH BARROSO,F,56,4,51-56
JUNTOS POR EL CAMBIO  SAN LUIS,LA FUERZA DEL CAMBIO,SAN LUIS,SUPLENTES,1,DANIEL FEDERICO BERRO,M,33,0,30-35
JUNTOS POR EL CAMBIO  SAN LUIS,LA FUERZA DEL CAMBIO,SAN LUIS,SUPLENTES,2,NOELIA INES VERED,F,35,0,30-35
MOVIMIENTO AL SOCIALISMO SAN LUIS,IZQUIERDA ANTICAPITALISTA,SAN LUIS,TITULARES,1,JUAN MARIO MIGANI,M,67,7,66-72
MOVIMIENTO AL SOCIALISMO SAN LUIS,IZQUIERDA ANTICAPITALISTA,SAN LUIS,TITULARES,2,ANAHI JAZMIN GALLARDO LUNA,F,33,0,30-35
MOVIMIENTO AL SOCIALISMO SAN LUIS,IZQUIERDA ANTICAPITALISTA,SAN LUIS,SUPLENTES,1,FRANCO SANTIAGO BARBERO,M,36,1,35-40
MOVIMIENTO AL SOCIALISMO SAN LUIS,IZQUIERDA ANTICAPITALISTA,SAN LUIS,SUPLENTES,2,ANA CELIA VILLEGAS,F,58,5,56-61
MOVIMIENTO LIBRES DEL SUR SAN LUIS,AZUL Y ROJO,SAN LUIS,TITULARES,1,JOAQUIN EMILIO MANSILLA,M,43,2,40-46
MOVIMIENTO LIBRES DEL SUR SAN LUIS,AZUL Y ROJO,SAN LUIS,TITULARES,2,CECILIA ALEJANDRA RIQUELME,F,33,0,30-35
MOVIMIENTO LIBRES DEL SUR SAN LUIS,AZUL Y ROJO,SAN LUIS,SUPLENTES,1,DAMIAN AUGUSTO FLORES,M,32,0,30-35
MOVIMIENTO LIBRES DEL SUR SAN LUIS,AZUL Y ROJO,SAN LUIS,SUPLENTES,2,CLAUDIA GABRIELA RODRIGUEZ,F,47,3,46-51
PARTIDO DEMOCRATA SAN LUIS,DEMOCRATAS POR LA LIBERTAD,SAN LUIS,TITULARES,1,ALICIA ROMER,F,73,8,72-77
PARTIDO DEMOCRATA SAN LUIS,DEMOCRATAS POR LA LIBERTAD,SAN LUIS,TITULARES,2,MAURICIO ANDRES PESTCHANKER,M,39,1,35-40
PARTIDO DEMOCRATA SAN LUIS,DEMOCRATAS POR LA LIBERTAD,SAN LUIS,SUPLENTES,1,CLAUDIA NOGUEIRA,F,48,3,46-51
PARTIDO DEMOCRATA SAN LUIS,DEMOCRATAS POR LA LIBERTAD,SAN LUIS,SUPLENTES,2,PABLO BIANCHI,M,70,7,66-72
PARTIDO UNION Y LIBERTAD SAN LUIS,L1,SAN LUIS,TITULARES,1,EDUARDO JORGE GOMINA,M,61,5,56-61
PARTIDO UNION Y LIBERTAD SAN LUIS,L1,SAN LUIS,TITULARES,2,PAMELA PAOLA PARDO,F,33,0,30-35
PARTIDO UNION Y LIBERTAD SAN LUIS,L1,SAN LUIS,SUPLENTES,1,DIEGO SEBASTIAN BARRERA,M,45,2,40-46
PARTIDO UNION Y LIBERTAD SAN LUIS,L1,SAN LUIS,SUPLENTES,2,MARIA ELIA LEYES,F,46,3,46-51
UNION POR SAN LUIS,CELESTE UNIDAD,SAN LUIS,TITULARES,1,FERNANDO ALDO SALINO,M,63,6,61-66
UNION POR SAN LUIS,CELESTE UNIDAD,SAN LUIS,TITULARES,2,CINTIA MARINA RAMIREZ,F,35,0,30-35
UNION POR SAN LUIS,CELESTE UNIDAD,SAN LUIS,SUPLENTES,1,FERNANDO EDUARDO LARROUDE,M,53,4,51-56
UNION POR SAN LUIS,CELESTE UNIDAD,SAN LUIS,SUPLENTES,2,JOSEFINA DEL VALLE ALDANA,F,71,7,66-72
AGRUPACION MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,SANTA CRUZ,TITULARES,1,FELIPE ANDRES CERVINE,M,77,9,77-82
AGRUPACION MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,SANTA CRUZ,TITULARES,2,ROSA CLARA IRUSTA,F,66,6,61-66
AGRUPACION MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,SANTA CRUZ,SUPLENTES,1,LEONARDO NICOLAS MORALES,M,39,1,35-40
AGRUPACION MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,SANTA CRUZ,SUPLENTES,2,CYNTHIA PAMELA MUÑOZ,F,37,1,35-40
ALIANZA CAMBIA SANTA CRUZ,EL CAMBIO DE NUESTRAS VIDAS,SANTA CRUZ,TITULARES,1,EDUARDO COSTA,M,62,6,61-66
ALIANZA CAMBIA SANTA CRUZ,EL CAMBIO DE NUESTRAS VIDAS,SANTA CRUZ,TITULARES,2,ANDREA GALLEGOS,F,36,1,35-40
ALIANZA CAMBIA SANTA CRUZ,EL CAMBIO DE NUESTRAS VIDAS,SANTA CRUZ,SUPLENTES,1,CESAR GUATTI,M,63,6,61-66
ALIANZA CAMBIA SANTA CRUZ,EL CAMBIO DE NUESTRAS VIDAS,SANTA CRUZ,SUPLENTES,2,SUSANA TOLEDO,F,52,4,51-56
ALIANZA CAMBIA SANTA CRUZ,SUMAMOS FUERZAS EN SANTA CRUZ,SANTA CRUZ,TITULARES,1,MARIA BELEN TAPIA,F,50,3,46-51
ALIANZA CAMBIA SANTA CRUZ,SUMAMOS FUERZAS EN SANTA CRUZ,SANTA CRUZ,TITULARES,2,CARLOS JORGE ZIEHLKE,M,65,6,61-66
ALIANZA CAMBIA SANTA CRUZ,SUMAMOS FUERZAS EN SANTA CRUZ,SANTA CRUZ,SUPLENTES,1,LUZ MARISOL MALDONADO,F,45,2,40-46
ALIANZA CAMBIA SANTA CRUZ,SUMAMOS FUERZAS EN SANTA CRUZ,SANTA CRUZ,SUPLENTES,2,PEDRO DE CARLI,M,57,5,56-61
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,SANTA CRUZ,TITULARES,1,MIGUEL DEL PLA,M,71,7,66-72
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,SANTA CRUZ,TITULARES,2,YESICA PAOLA AGUILAR,F,35,0,30-35
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,SANTA CRUZ,SUPLENTES,1,PABLO JAVIER GARCIA,M,37,1,35-40
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,SANTA CRUZ,SUPLENTES,2,ANALIA ROMINA VARGAS,F,38,1,35-40
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,SANTA CRUZ,TITULARES,1,MARCELA DEL CARMEN CHAILE,F,49,3,46-51
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,SANTA CRUZ,TITULARES,2,ERNESTO ANGEL VALDIVIEZO,M,46,3,46-51
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,SANTA CRUZ,SUPLENTES,1,IRMA INES TEJERINA,F,51,4,51-56
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,SANTA CRUZ,SUPLENTES,2,DANIEL OSVALDO GIMENEZ,M,49,3,46-51
ALIANZA POR SANTA CRUZ,HACER SANTA CRUZ,SANTA CRUZ,TITULARES,1,JOSE MARIA CARAMBIA,M,39,1,35-40
ALIANZA POR SANTA CRUZ,HACER SANTA CRUZ,SANTA CRUZ,TITULARES,2,NATALIA ELENA GADANO,F,41,2,40-46
ALIANZA POR SANTA CRUZ,HACER SANTA CRUZ,SANTA CRUZ,SUPLENTES,1,JAIME HORACIO ALVAREZ,M,54,4,51-56
ALIANZA POR SANTA CRUZ,HACER SANTA CRUZ,SANTA CRUZ,SUPLENTES,2,ETELVINA DEL CARMEN ROJAS,F,63,6,61-66
ALIANZA UNION POR LA PATRIA,ACUERDO SANTACRUCEÑO,SANTA CRUZ,TITULARES,1,ALICIA KIRCHNER,F,77,9,77-82
ALIANZA UNION POR LA PATRIA,ACUERDO SANTACRUCEÑO,SANTA CRUZ,TITULARES,2,PABLO GONZALEZ,M,55,4,51-56
ALIANZA UNION POR LA PATRIA,ACUERDO SANTACRUCEÑO,SANTA CRUZ,SUPLENTES,1,LORENA ELIANA BELTRAN,F,43,2,40-46
ALIANZA UNION POR LA PATRIA,ACUERDO SANTACRUCEÑO,SANTA CRUZ,SUPLENTES,2,SERGIO ROBERTO VIOTTI,M,54,4,51-56
