Agrupación Política,Lista,Distrito,Subcategoría Cargo,Posición,Precandidato,Género,Edad,Age_Bin,Age_Range
JUSTICIA Y DIGNIDAD PATRIOTICA,P.A.S.E,BUENOS AIRES,SUPLENTES,2,RAMONA BEATRIZ JEREZ,F,65,6,61-66
LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,BUENOS AIRES,TITULARES,1,JUAN IGNACIO NAPOLI,M,53,4,51-56
LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,BUENOS AIRES,TITULARES,2,GLADYS NOEMI HUMENUK,F,50,3,46-51
LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,BUENOS AIRES,SUPLENTES,1,ALVARO GARCIA,M,44,2,40-46
LA LIBERTAD AVANZA,LIBERTAD POR SIEMPRE,BUENOS AIRES,SUPLENTES,2,CAMILA BECERRA,F,37,1,35-40
MOVIMIENTO AVANZADA SOCIALISTA,IZQUIERDA ANTICAPITALISTA,BUENOS AIRES,TITULARES,1,LUIS MARIO DI BARTOLO,M,50,3,46-51
MOVIMIENTO AVANZADA SOCIALISTA,IZQUIERDA ANTICAPITALISTA,BUENOS AIRES,TITULARES,2,MARIA LAURA GRANILLO,F,37,1,35-40
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,CONFEDERAL,BUENOS AIRES,TITULARES,1,CLAUDIO MARCELO MORGADO,M,64,6,61-66
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,CONFEDERAL,BUENOS AIRES,SUPLENTES,1,CHRISTIAN ANDRES NAON,M,45,2,40-46
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,CONFEDERAL,BUENOS AIRES,SUPLENTES,2,KARINA ANDREA CASCO,F,41,2,40-46
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LINEA A DIGNIDAD,BUENOS AIRES,TITULARES,1,NINA PELOZO,F,62,6,61-66
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LINEA A DIGNIDAD,BUENOS AIRES,TITULARES,2,ALEJANDRO DARIO YBARRA,M,39,1,35-40
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LINEA A DIGNIDAD,BUENOS AIRES,SUPLENTES,1,MARIA SOLEDAD GÓMEZ,F,32,0,30-35
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LINEA A DIGNIDAD,BUENOS AIRES,SUPLENTES,2,CARLOS FERNANDEZ,M,58,5,56-61
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,TITULARES,1,HUMBERTO MIGUEL TUMINI,M,74,8,72-77
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,TITULARES,2,LAURA INES LONATTI,F,59,5,56-61
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,SUPLENTES,1,FRANCO ARDUSSO,M,30,0,30-35
MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,BUENOS AIRES,SUPLENTES,2,ROSANA GOMEZ,F,41,2,40-46
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,TITULARES,1,JUAN CARLOS NEVES,M,75,8,72-77
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,TITULARES,2,MARIA ISABEL COSTA MENDES,F,51,4,51-56
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,SUPLENTES,1,LUIS ALBERTO REY,M,57,5,56-61
NUEVA UNION CELESTE,CELESTE,BUENOS AIRES,SUPLENTES,2,ROSA JUANA MONTESINO DIAZ,F,74,8,72-77
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,TITULARES,1,MARIA ALICIA ARCE,F,44,2,40-46
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,TITULARES,2,HUGO MIGUEL SAN MARTIN,M,50,3,46-51
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,SUPLENTES,1,FLAVIA GABRIELA GOROSITO,F,41,2,40-46
PARTIDO LABORISTA,FRENTE LABORISTA,BUENOS AIRES,SUPLENTES,2,HECTOR DANIEL GONZALEZ,M,35,0,30-35
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,TITULARES,1,ZULMA ISABEL VALENZUELA,F,51,4,51-56
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,TITULARES,2,JORGE NATALIO LEON,M,55,4,51-56
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,SUPLENTES,1,ANGELA BEATRIZ CISNEROS,F,49,3,46-51
PARTIDO LABORISTA,LA CLASE OBRERA,BUENOS AIRES,SUPLENTES,2,LUCAS ALEJANDRO ROBLES,M,31,0,30-35
